Trials

NORMAL THROW #1
175 ACCEL: X:0.77, Y:2.80, Z:0.39   GYRO: X:41.27'/s, Y:-25.36'/s, Z:-256.00'/s
377 ACCEL: X:0.10, Y:0.70, Z:0.20   GYRO: X:-28.38'/s, Y:-50.23'/s, Z:-256.00'/s
566 ACCEL: X:0.02, Y:-0.84, Z:0.01   GYRO: X:-9.59'/s, Y:-1.41'/s, Z:-79.48'/s
755 ACCEL: X:-0.02, Y:-0.84, Z:0.01   GYRO: X:-1.61'/s, Y:18.89'/s, Z:-17.17'/s
950 ACCEL: X:0.38, Y:-0.84, Z:-0.14   GYRO: X:-4.20'/s, Y:42.61'/s, Z:57.03'/s
1154 ACCEL: X:0.71, Y:-1.08, Z:0.03   GYRO: X:4.46'/s, Y:-15.29'/s, Z:-22.12'/s
1348 ACCEL: X:0.89, Y:-1.34, Z:-0.14   GYRO: X:-1.84'/s, Y:-9.68'/s, Z:-84.45'/s
1548 ACCEL: X:0.28, Y:-0.99, Z:-0.07   GYRO: X:-34.55'/s, Y:-12.53'/s, Z:-240.67'/s
1786 ACCEL: X:-0.17, Y:0.87, Z:0.13   GYRO: X:-30.75'/s, Y:-17.84'/s, Z:-256.00'/s
1975 ACCEL: X:0.28, Y:1.66, Z:0.10   GYRO: X:-17.91'/s, Y:1.95'/s, Z:-256.00'/s
2172 ACCEL: X:0.69, Y:4.37, Z:0.34   GYRO: X:-12.92'/s, Y:59.34'/s, Z:253.99'/s
2374 ACCEL: X:-0.34, Y:-0.72, Z:-0.03   GYRO: X:146.75'/s, Y:20.70'/s, Z:253.99'/s
2568 ACCEL: X:-0.41, Y:-0.68, Z:-0.01   GYRO: X:-43.11'/s, Y:75.57'/s, Z:253.99'/s
2752 ACCEL: X:-0.15, Y:-1.05, Z:-0.20   GYRO: X:-6.23'/s, Y:12.45'/s, Z:0.85'/s
3004 ACCEL: X:-0.12, Y:-1.00, Z:-0.03   GYRO: X:-1.91'/s, Y:0.43'/s, Z:2.20'/s
3149 ACCEL: X:-0.19, Y:-0.99, Z:-0.09   GYRO: X:-1.73'/s, Y:-0.91'/s, Z:2.04'/s
3360 ACCEL: X:-0.19, Y:-0.99, Z:-0.08   GYRO: X:-1.70'/s, Y:-0.67'/s, Z:-0.04'/s
3587 ACCEL: X:-0.19, Y:-0.99, Z:-0.09   GYRO: X:-1.47'/s, Y:-0.62'/s, Z:2.20'/s
3781 ACCEL: X:-0.19, Y:-0.99, Z:-0.09   GYRO: X:-1.73'/s, Y:-0.96'/s, Z:2.09'/s
3980 ACCEL: X:-0.19, Y:-0.99, Z:-0.08   GYRO: X:-1.70'/s, Y:0.81'/s, Z:2.02'/s
4171 ACCEL: X:-0.19, Y:-0.99, Z:-0.08   GYRO: X:-1.60'/s, Y:-0.72'/s, Z:-0.03'/s
4409 ACCEL: X:-0.20, Y:-0.99, Z:-0.09   GYRO: X:-1.43'/s, Y:-0.83'/s, Z:2.02'/s
4572 ACCEL: X:-0.19, Y:-0.99, Z:-0.08   GYRO: X:-1.45'/s, Y:-0.85'/s, Z:2.12'/s
